mode,counts,prob,AA cost/gr,AA cost,growth rate
0,522.0,0.52,4.746478413131474,2.8863405817967998,0.608101487159729
1,153.0,0.15,4.902647740920769,2.0170320776917783,0.4114168882369995
2,2.0,0.0,4.803967410219728,2.8582565192107046,0.5949783325195312
3,14250.0,14.24,4.746476621559801,2.8863564670625794,0.6081050634384155
4,1.0,0.0,4.745572395562691,2.8882278684782516,0.6086152791976929
5,47.0,0.05,4.745569917630905,2.8882405032715655,0.6086182594299316
6,3031.0,3.03,4.746479748602013,2.886341393898421,0.608101487159729
7,81794.0,81.71,4.746478136935317,2.8863573885701035,0.6081050634384155
8,9.0,0.01,4.745572957357429,2.8882282103951127,0.6086152791976929
9,291.0,0.29,4.745585181547085,2.888249793169663,0.6086182594299316
10,unc,0,4.745585181546995,2.8882497931696087,0.6086182594299316
